"id" "score" "date_time"
"20178013" 0 NA
"20178016" 0 NA
"20178057" 0 NA
"20172802" 100 2018-11-11 19:31:37
"20173001" 0 NA
"20173902" 100 2018-11-05 14:34:46
"20182804" 100 2018-11-10 20:49:47
"20153302" 100 2018-11-11 23:54:52
"20186203" 100 2018-11-11 23:27:41
"20173301" 100 2018-11-11 17:08:26
"20182202" 100 2018-11-09 17:33:22
"20186105" 50 2018-11-11 23:52:09
"20155404" 100 2018-11-11 23:38:06
"20173505" 100 2018-11-11 22:40:34
"20165103" 100 2018-11-11 21:24:47
"20154203" 100 2018-11-11 22:03:36
"20185112" 50 2018-11-11 23:54:59
"20185114" 100 2018-11-06 11:20:59
"20185214" 100 2018-11-11 22:49:45
"20153808" 0 NA
"20145404" 100 2018-11-08 16:52:53
"20184108" 100 2018-11-11 23:29:04
"20165503" 100 2018-10-29 16:12:27
"20176211" 100 2018-11-10 15:40:13
"20173305" 0 NA
"20185115" 100 2018-11-11 23:57:17
"20183909" 0 NA
"20186217" 100 2018-11-02 19:34:39
"20183912" 50 2018-11-11 21:12:51
"20163006" 100 2018-11-11 21:08:19
"20141111" 100 2018-10-28 18:44:32
"20175121" 100 2018-11-11 21:26:22
"20185224" 100 2018-11-11 23:54:10
"20185225" 50 2018-11-11 22:31:36
"20145217" 50 2018-11-11 18:51:52
"20143112" 100 2018-11-11 11:00:02
"20145220" 100 2018-10-27 22:12:00
"20151206" 100 2018-11-11 00:18:29
"20173310" 0 NA
"20135214" 100 2018-11-10 10:47:20
"20185232" 0 NA
"20125214" 100 2018-11-11 23:56:43
"20155214" 100 2018-11-11 20:12:36
"20143118" 100 2018-11-10 01:46:09
"20173617" 100 2018-11-11 21:08:23
"20182855" 100 2018-11-11 22:49:39
"20173517" 100 2018-11-10 22:40:31
"20133306" 100 2018-11-07 12:35:49
"20155317" 100 2018-11-11 13:53:45
"20152533" 100 2018-11-11 22:25:08
"20135320" 100 2018-11-04 15:33:35
"20145227" 100 2018-11-11 23:55:21
"20134214" 100 2018-10-30 14:32:25
